Location name,Amount spent (COP)
Amazonas,1387
Antioquia,7269772
Arauca,49777
Atlantico,1075398
Bolivar,300433
Boyaca,217008
Caldas,311832
Caqueta,105867
Casanare,91309
Cauca,334895
Cesar,160946
Choco,16315
Cordoba,424089
Cundinamarca,358549
Distrito Especial,5274038
Guainia,5761
Guaviare,16254
Huila,625873
La Guajira,29078
Magdalena,550531
Meta,436531
Narino,170869
Norte de Santander,595250
Putumayo,33767
Quindio,74193
Risaralda,733832
San Andres y Providencia,4838
Santander,939418
Sucre,553834
Tolima,206656
Unknown,410
Valle del Cauca,3277680
Vaupes,1241
Vichada,1442
