Location name,Amount spent (ZAR)
Eastern Cape,643
Free State,768
Gauteng,3634
KwaZulu-Natal,1289
Limpopo,320
Mpumalanga,394
North West,335
Northern Cape,141
Unknown,≤100
Western Cape,8902
