Location name,Amount spent (RON)
Alba County,581
Arad County,593
Argeș County,862
Bacău County,811
Bihor County,789
Bistrița-Năsăud County,353
Botoșani County,489
Brașov County,1984
Brăila County,346
Bucharest,3594
Buzău County,465
Caraș-Severin County,369
Cluj County,2127
Constanța County,1177
Covasna County,656
Călărași County,309
Dolj County,762
Dâmbovița County,598
Galați County,591
Giurgiu County,325
Gorj County,380
Harghita County,953
Hunedoara County,544
Ialomița County,324
Iași County,1170
Ilfov County,437
Maramureș County,876
Mehedinți County,388
Mureș County,1088
Neamț County,494
Olt County,341
Prahova County,1158
Satu Mare County,546
Sibiu County,545
Suceava County,980
Sălaj County,360
Teleorman County,477
Timiș County,1036
Tulcea County,183
Unknown,≤100
Vaslui County,327
Vrancea County,733
Vâlcea County,535
