Location name,Amount spent (EGP)
Al Sharqia Governorate,4956
Alexandria Governorate,918
Aswan Governorate,165
Asyut Governorate,458
Beheira Governorate,627
Beni Suef Governorate,279
Cairo Governorate,3120
Dakahlia Governorate,1217
Damietta Governorate,311
Faiyum Governorate,267
Gharbia Governorate,829
Giza Governorate,1092
Ismailia Governorate,686
Kafr el-Sheikh Governorate,511
Luxor Governorate,121
Matrouh Governorate,≤100
Minya Governorate,597
Monufia Governorate,572
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,321
Qalyubia Governorate,1294
Qena Governorate,324
Red Sea Governorate,139
Sohag Governorate,586
South Sinai Governorate,≤100
Suez Governorate,117
Unknown,≤100
