Location name,Amount spent (PYG)
Alto Paraguay Department,867
Alto Paraná Department,180065
Amambay Department,9511
Asunción,142690
Boquerón department,2994
Caaguazú Department,46462
Caazapá Department,4268
Canindeyú Department,9364
Central Department,579405
Concepción Department (Paraguay),19559
Cordillera Department,59685
Guairá Department,11140
Itapúa Department,25149
Misiones Department,92558
Paraguarí Department,11067
Presidente Hayes Department,7761
San Pedro Department,10970
Unknown,≤100
Ñeembucú Department,50695
