Location name,Amount spent (INR)
Andaman and Nicobar Islands,613
Andhra Pradesh,74105
Arunachal Pradesh,2048
Assam,18601
Bihar,43374
Chandigarh,2980
Chhattisgarh,51102
Dadra and Nagar Haveli,1375
Delhi,45432
Goa,3741
Gujarat,51338
Haryana,40725
Himachal Pradesh,14461
Jammu and Kashmir,7899
Jharkhand,15707
Karnataka,51762
Kerala,11809
Lakshadweep,≤100
Madhya Pradesh,99981
Maharashtra,174159
Manipur,604
Meghalaya,3102
Mizoram,2510
Nagaland,1087
Odisha,12483
Puducherry,1770
Punjab region,34187
Rajasthan,141362
Sikkim,1373
Tamil Nadu,50859
Telangana,97806
Tripura,1824
Unknown,131
Uttar Pradesh,102671
Uttarakhand,12832
West Bengal,85613
