Location name,Amount spent (TRY)
Adana Province,28093
Adıyaman Province,6615
Afyonkarahisar Province,6418
Aksaray Province,11561
Amasya Province,5167
Ankara Province,91784
Antalya Province,39714
Ardahan Province,3334
Artvin Province,2380
Aydın Province,14440
Ağrı Province,1874
Balıkesir Province,15891
Bartın Province,3056
Batman Province,5167
Bayburt Province,1537
Bilecik Province,2396
Bingöl Province,1032
Bitlis Province,2728
Bolu Province,3757
Burdur Province,3067
Bursa Province,49666
Denizli Province,14974
Diyarbakır Province,8216
Düzce Province,4259
Edirne Province,3734
Elazığ Province,4643
Erzincan Province,3451
Erzurum Province,5178
Eskişehir Province,20745
Gaziantep Province,21024
Giresun Province,11726
Gümüşhane Province,1331
Hakkâri Province,780
Hatay Province,9942
Isparta Province,7400
Istanbul Province,440428
Iğdır Province,1293
Kahramanmaraş Province,6249
Karabük Province,4465
Karaman Province,3000
Kars Province,3806
Kastamonu Province,11531
Kayseri Province,25634
Kilis Province,1705
Kocaeli Province,19774
Konya Province,30976
Kütahya Province,6700
Kırklareli Province,4155
Kırıkkale Province,3345
Kırşehir Province,2494
Malatya Province,4147
Manisa Province,24774
Mardin Province,4159
Mersin Province,38557
Muğla Province,10612
Muş Province,920
Nevşehir Province,2894
Niğde Province,4000
Ordu Province,13657
Osmaniye Province,6629
Rize Province,5896
Sakarya Province,7440
Samsun Province,23125
Siirt Province,1920
Sinop Province,3668
Sivas Province,5762
Tekirdağ Province,12473
Tokat Province,6544
Trabzon Province,12960
Tunceli Province,441
Unknown,646
Uşak Province,7722
Van Province,4791
Yalova Province,2556
Yozgat Province,6189
Zonguldak Province,14801
Çanakkale Province,7730
Çankırı Province,4800
Çorum Province,5571
İzmir Province,70020
Şanlıurfa Province,10726
Şırnak Province,2142
