Location name,Amount spent (PLN)
Greater Poland Voivodeship,4178
Kuyavian-Pomeranian Voivodeship,3139
Lesser Poland Voivodeship,3868
Lower Silesian Voivodeship,3085
Lublin Voivodeship,2341
Lubusz Voivodeship,858
Masovian Voivodeship,7506
Opole Voivodeship,766
Podkarpackie Voivodeship,1561
Podlaskie Voivodeship,1289
Pomeranian Voivodeship,2599
Silesian Voivodeship,3671
Unknown,≤100
Warmian-Masurian Voivodeship,1270
West Pomeranian Voivodeship,1899
Łódź Voivodeship,2662
Świętokrzyskie Voivodeship,979
