Location name,Amount spent (USD)
Alabama,10008
Alaska,2241
American Samoa,≤100
Arizona,32873
Arkansas,6145
California,97529
Colorado,15444
Connecticut,8531
Delaware,2564
Florida,58398
Georgia,31354
Guam,≤100
Hawaii,2815
Idaho,5090
Illinois,28108
Indiana,17431
Iowa,12427
Kansas,8347
Kentucky,10074
Louisiana,12798
Maine,6287
Maryland,24050
Massachusetts,18281
Michigan,33544
Minnesota,12317
Mississippi,8842
Missouri,16273
Montana,3799
Nebraska,3897
Nevada,8440
New Hampshire,3603
New Jersey,27855
New Mexico,6449
New York,55492
North Carolina,27873
North Dakota,1845
Northern Mariana Islands,≤100
Ohio,41020
Oklahoma,10603
Oregon,17277
Pennsylvania,45080
Puerto Rico,≤100
Rhode Island,3091
South Carolina,9685
South Dakota,1578
Tennessee,14655
Texas,81201
Unknown,≤100
Utah,8732
Vermont,1823
Virgin Islands (U.S.),≤100
Virginia,29845
Washington,30129
"Washington, District of Columbia",17197
West Virginia,6053
Wisconsin,18263
Wyoming,1336
