Page ID,Page name,Disclaimer,Amount spent (TRY),Number of ads in Library
144295649058307,Ekrem İmamoğlu,Ekrem İmamoğlu,25943,14
510344522371733,Oy ve Ötesi,Oy ve Ötesi,19587,357
111436922211991,AK Parti İstanbul,AK Parti İstanbul İl Başkanlığı,15097,3
107621395263001,Bilge Yılmaz,Bilge Yılmaz,10494,5
183754020921,Saadet Partisi,Saadet Partisi,8190,8
100910024639566,Ali Babacan,Deva Partisi,7810,2
1481865401841739,Müge Yıldız Topak,Muge Yildiz Toprak,7689,9
497191817041688,Erdoğan Gönüllüleri,Woo Medya ve Organizasyon Ltd Şti,4114,1
462963834529864,Levent Uysal,Levent Uysal,4099,3
113279311715408,Adnan Duman,Karavan Ajans,3994,5
158829607558395,Milliyetçi Hareket Partisi (MHP),Milliyetçi Hareket Partisi (MHP),3187,14
427667890724620,Tarkan Akıllı,Tarkan Akıllı,2919,2
459314071262613,Zeynettin Aydın,Zeynettin Aydın,2677,13
1432036000274690,İsmet Köksal,İsmet Köksal,2532,13
851556338241562,Ayşen Kurt,Ayşen Kurt,2465,2
498108350567415,Nilüfer Deveci,Nilufer Deveci,2407,7
102841632670929,Türkiye Gönüllüleri,Türkiye Gönüllüleri,2259,72
416780908423861,Nurullah CAHAN,Nurullah CAHAN,2025,2
119555984413348,Mustafa Enis Arabacı,Mustafa Enis Arabacı,1973,1
105282555805690,Semih Gülerer,Semih Gülerer,1728,3
111162852275902,Uluslararası Af Örgütü Türkiye Şubesi,Uluslararası Af Örgütü Türkiye Şubesi,1430,4
294889615437,Sinan Oğan,Sinan Oğan,1404,1
804210899660885,Ahmet Katar,Ahmet Katar,1299,6
111499880433378,Abdülkadir ADAR,Abdülkadir ADAR,1228,5
116335429034559,Prof.Dr. Himmet Karadal,Prof.Dr. Himmet Karadal,1196,2
118447084505267,Av. Hakan Özışık,Hakan Özışık,1160,4
562429187164086,Hilmi Türkmen,Üsküdar Belediyesi,1150,2
174773480020145,Ömer Bağcı,Ömer Bağcı,1134,2
449237108936779,İsmail Ofluoğlu,İsmail Ofluoğlu,1112,3
110647840532680,Merge Mayor,These ads ran without a disclaimer,1085,1
