Location name,Amount spent (EGP)
Al Sharqia Governorate,2282
Alexandria Governorate,1160
Aswan Governorate,197
Asyut Governorate,442
Beheira Governorate,860
Beni Suef Governorate,297
Cairo Governorate,4349
Dakahlia Governorate,1607
Damietta Governorate,382
Faiyum Governorate,266
Gharbia Governorate,988
Giza Governorate,1659
Ismailia Governorate,417
Kafr el-Sheikh Governorate,886
Luxor Governorate,131
Matrouh Governorate,≤100
Minya Governorate,592
Monufia Governorate,706
New Valley Governorate,≤100
North Sinai Governorate,103
Port Said Governorate,213
Qalyubia Governorate,999
Qena Governorate,336
Red Sea Governorate,116
Sohag Governorate,568
South Sinai Governorate,≤100
Suez Governorate,136
Unknown,≤100
