Location name,Amount spent (LBP)
Beirut Governorate,3016554
Beqaa Governorate,1044931
Mount Lebanon Governorate,1708651
Nabatieh Governorate,481226
North Governorate,1748942
South Governorate,733583
Unknown,≤100
