Page ID,Page name,Disclaimer,Amount spent (AUD),Number of ads in Library
532962446729390,Australian Families,Department of Social Services,4181,49
9480502970,Greenpeace Australia Pacific,Greenpeace Australia Pacific,3297,166
845410525497100,Launch Housing,Launch Housing,2514,114
494820897261439,Bank Australia,Bank Australia,2484,44
299753643444311,AEC,Australian Electoral Commission,2264,2
101589645013040,Thrive by Five,Thrive By Five,2204,19
109540078293238,Affordable Medicines Now,The Pharmacy Guild of Australia,1876,10
376006035816016,Storyworth,These ads ran without a disclaimer,1536,10
495731404149305,Koffels Solicitors & Barristers,Koffels Solicitors and Barristers,1361,15
200480966638039,Supremacy 1914,These ads ran without a disclaimer,1267,4
134712696593275,Dan Andrews,Daniel Andrews MP,1236,14
1776727752614025,Glencore,Glencore Australia,1172,12
291704124236419,WorkSafe Victoria,WorkSafe Victoria,1167,107
160054227468,World Vision Australia,World Vision Australia,1126,11
447447719391089,Health Care Providers Association,Health Care Providers Association,975,10
112133637214684,Doctors Without Borders / Médecins Sans Frontières (MSF),Médecins Sans Frontières Australia,834,10
195538532456,UNICEF Australia,UNICEF Australia,817,26
92824008332,Plan International Australia,Plan International Australia,748,33
14193666340,Australian Conservation Foundation,Australian Conservation Foundation,728,24
182564410468,Australia for UNHCR,Australia for UNHCR,717,47
10113538711,WWF-Australia,WWF-Australia,621,6
290700654767295,The Chamber of Minerals and Energy of Western Australia - CMEWA,The Chamber of Minerals and Energy of Western Australia,504,18
104180525925926,Fair Australia,Advance Australia,493,8
102329728050606,Yes23,Yes23,443,5
125812604095801,Invasive Species Council,Invasive Species Council,438,94
102292348146435,The Uluru Statement from the Heart,"Indigenous Law Centre, UNSW",433,2
184543928960,National Party of Australia,National Party of Australia,406,12
140527268700,Act for Peace,Act for Peace Ltd,382,61
345960425540557,The Climate Council,The Climate Council,381,38
655173787829512,National Zakat Foundation Australia,NATIONAL ZAKAT FOUNDATION INCORPORATED,351,81
324035071010940,CPSU Victoria,CPSU Victoria,340,1
1717658871783507,Queensland Youth,Department of Environment and Science,312,4
105348385388237,Senator Babet,Ralph E D Babet,296,5
110456094190032,Changing Aged Care,HSU National,284,14
89794331215,Oxfam,Oxfam Australia,278,45
100314522404427,Andrew Willcox MP,Liberal National Party of Queensland,276,5
76212817063,CARE Australia,CARE Australia,269,16
105074562868386,The Fred Hollows Foundation,These ads ran without a disclaimer,266,2
105187691260140,"Pharmacy Guild of Australia, QLD","Pharmacy Guild of Australia, QLD",264,40
54879226285,Teach For Australia,Teach For Australia,253,40
341910905847062,Asylum Seeker Resource Centre (ASRC),Asylum Seeker Resource Centre (ASRC),248,66
150255771679533,Karen Andrews MP,Karen Andrews MP,244,1
1670517743250253,Save the Daintree Rainforest,Rainforest 4 Foundation Ltd,238,3
694832627392516,Prime Super,Prime Super,238,115
157481181070130,Indigenous Employment Australia,Access,226,50
159487260807787,Tindo Solar,Tindo Solar,219,2
160021291752,Environment Victoria,Environment Victoria,216,8
1734173853529152,Queensland Family and Child Commission,Queensland Family and Child Commission,206,13
127045912874975,Dr Michelle Ananda-Rajah MP,Dr Michelle Ananda-Rajah MP,203,10
1020802664670984,Llew O'Brien MP,Llew O'Brien MP,198,4
32799215298,Animals Australia,Animals Australia,194,42
2080670615483977,Verve Super,Verve Super,193,4
696379037237660,Department of the Prime Minister and Cabinet,"The Department of Prime Minister and Cabinet,",189,10
8422338499,The Wilderness Society,The Wilderness Society,189,112
160779783972850,City of Gold Coast,City of Gold Coast,185,24
272757739102,Engineers Australia,Engineers Australia,185,9
105084998845350,BPH Energy,BPH ENERGY LTD,177,75
425487554863185,First Peoples' Assembly of Victoria,First Peoples' Assembly of Victoria,173,21
102453932266472,Aaron Violi MP,Aaron Violi MP,172,6
2383045228374491,CPAC Australia,Conservative Political Action Network Ltd,165,22
134195116658191,UNSW Law & Justice,UNSW Sydney,163,1
121201504755819,Animal Justice Party AJP Victoria,Animal Justice Party,163,41
149648047339,Save the Children Australia,Save the Children Australia,163,9
1621692424754301,Minderoo Foundation,Minderoo Foundation,162,4
100356216050100,Family First Party Australia,Family First Party Australia Ltd,152,6
268606619928735,Voice of the Martyrs Australia,Voice of the Martyrs Australia,150,5
504855933190931,Time for Change - Change Aged Care,United Workers Union,146,37
231341250224498,Australian Ethical Investment,Australian Ethical Investment,144,50
948595148496917,Andrew Hastie,Andrew Hastie,141,2
157812980921536,Environmental Defenders Office,Environmental Defenders Office,140,31
21591025194,The University of Melbourne,The University of Melbourne,136,4
1501550403427903,Senator Anthony Chisholm,Senator Anthony Chisholm,135,11
307339209323908,Dan Tehan MP,Dan Tehan MP,132,2
161854162881,Greenfleet,Greenfleet,129,14
328245481103110,Senator Alex Antic,Alex Antic,128,8
117241141903,Barnardos Australia,Barnardos Australia,127,18
145262132264710,Angus Taylor MP,Angus Taylor MP,127,4
49991482906,Tearfund Australia,Tearfund Australia,122,53
100642886236811,It's Happening Here,It's Happening Here,115,1
205327792883589,Stuart Robert MP,Stuart Robert MP,114,4
7783116506,Animals Asia,These ads ran without a disclaimer,112,14
351313714891862,Australian Good Meat,Meat & Livestock Australia,111,1
107939487783753,Garth Hamilton MP,Garth Hamilton MP,111,3
107765634022348,Henry Pike MP,Henry Pike MP,110,6
387283804637628,Queensland Environment,These ads ran without a disclaimer,107,4
455281287849603,Mark Dreyfus,Mark Dreyfus,107,3
69731837262,Planet Ark,Planet Ark Environmental Foundation,106,1
1483396328456198,Acciona.Australia,ACCIONA Australia,104,3
589611354490193,GreenPower,Alana Stocks,102,14
129209787133659,NSW Nurses and Midwives' Association,NSW Nurses and Midwives' Association,≤100,4
655944151127130,SBS Cantonese 廣東話節目,Special Broadcasting Service,≤100,14
173168582700205,SBS中文,SBS Mandarin中文普通话,≤100,12
112129948486119,National Poll,Curious Minds Media Pty Ltd,≤100,3
111577958275695,Better BeCause,Better BeCause,≤100,12
168475823483405,Kim Richards Member for Redlands,Kim Richards Member for Redlands,≤100,1
352953834815624,Jason Wood MP,Jason Wood MP,≤100,3
287789063686,Brendan O'Connor MP,Brendan O'Connor MP,≤100,3
316480331783930,Australian Unions,Australian Unions,≤100,7
21145917717,Powerhouse Museum,Powerhouse Museum,≤100,2
361491373921077,Solar Citizens,100% Renewable Community Campaign Public Fund,≤100,4
522394997927024,Les Walker MP - Mundingburra,Les Walker,≤100,1
453750595056,Cancer Council NSW,Cancer Council NSW,≤100,46
1414406035466037,Jeremy Rockliff,Jeremy Rockliff,≤100,4
316398288467492,Shooters Union of Australia,Shooters Union of Australia,≤100,1
145933972484735,Tasracing,Tasracing,≤100,3
