Page ID,Page name,Disclaimer,Amount spent (EGP),Number of ads in Library
113432613540693,وزارة الصحة والسكان المصرية,وزارة الصحة والسكان المصرية,15969,46
798673866859390,ETC TV,ETC TV,5628,40
104276078212663,محافظتك لحظة بلحظة,محافظتك لحظة بلحظة,3605,1
384511478794856,Thndr ثاندر,These ads ran without a disclaimer,3128,6
106088658611833,Ambassador Ahmed Elfadaly,Ambassador Ahmed Elfadaly,3001,4
550280998481446,Rasha Kelej,Rasha Kelej,2233,15
100835565731657,Ahmed Amin Massoud - أحمد أمين مسعود,Ahmed Amin Massoud - أحمد أمين مسعود,1474,6
101009088774421,حزب حماة الوطن,حزب حماة الوطن,1423,7
273900239400893,نقابة المحامين المصرية,نقابة المحامين المصرية,1147,15
1440732656173900,EDU Gate,These ads ran without a disclaimer,995,1
181524565276709,الهلال الأحمر المصري - Egyptian Red Crescent,الهلال الأحمر المصري - Egyptian Red Crescent,821,5
112955485159674,مدحت الكمار ــ Medhat Al.Kammar,مدحت محمد عطية الكمار,777,8
106450555171099,مجدي البري - Magdy Elbery,مجدي البري - Magdy Elbery,697,7
105096455624550,Tamer abdelhamid - تامر عبد الحميد,Tamer abdelhamid - تامر عبد الحميد,659,7
159052647481654,حزب الإصلاح والنهضة,حزب الإصلاح والنهضة,652,3
103395314662888,حزب الشعب الجمهوري - مصر,حزب الشعب الجمهوري - مصر,611,1
218934818138980,Icon Creations,These ads ran without a disclaimer,495,1
308088503057656,النائب محمود عصام,النائب محمود عصام,443,4
110877857406073,المهندس حسام لبن,المهندس حسام لبن,437,4
185343588755360,متصدقش,These ads ran without a disclaimer,360,2
100427812819609,زيارات أفضل أساتذة العظام من القاهرة لمحافظات الصعيد,These ads ran without a disclaimer,308,1
192320965049184,الإعلامية نيفين منصور,الإعلامية نيفين منصور,231,3
106719921012688,Ahmed Bahaa Shalaby-أحمد بهاء شلبي,Integrated Marketing Communications For Media.IMC,201,6
102752291431181,المهندس حازم الجندي - Hazem ElGendy,المهندس حازم الجندي - Hazem ElGendy,200,2
666470146818916,مؤسسة جبر القلوب - GabrAlqulub,مؤسسة جبر القلوب - GabrAlqulub,197,3
