Location name,Amount spent (EUR)
Alsace,553
Aquitaine,1266
Auvergne,349
Basse-Normandie,379
Bourgogne,430
Bretagne,994
Centre,673
Champagne-Ardenne,400
Corse,127
Franche-Comté,295
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,770
Languedoc-Roussillon,1064
Limousin,185
Lorraine,606
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1161
New Caledonia,≤100
Nord-Pas-de-Calais,1166
Pays de la Loire,1201
Picardie,563
Poitou-Charentes,525
Provence-Alpes-Côte d'Azur,2210
Reunion Island,174
Rhône-Alpes,1995
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,4304
