Location name,Amount spent (USD)
Adjumani District,≤100
Arua District,≤100
Bugiri District,≤100
Gulu District,≤100
Hoima District,≤100
Iganga District,≤100
Isingiro District,≤100
Jinja District,≤100
Kabale District,≤100
Kabarole District,≤100
Kampala District,≤100
Kamuli District,≤100
Kanungu District,≤100
Kapchorwa District,≤100
Kayunga District,≤100
Kibale District,≤100
Kumi District,≤100
Lira District,≤100
Luwero District,≤100
Manafwa District,≤100
Masaka District,≤100
Masindi District,≤100
Mbale District,≤100
Mbarara District,≤100
Mityana District,≤100
Moroto District,≤100
Moyo District,≤100
Mpigi District,≤100
Mubende District,≤100
Mukono District,≤100
Nakaseke District,≤100
Nakasongola District,≤100
Nebbi District,≤100
Ntungamo District,≤100
Rakai District,≤100
Sironko District,≤100
Soroti District,≤100
Tororo District,≤100
Wakiso District,≤100
Yumbe District,≤100
