Page ID,Page name,Disclaimer,Amount spent (HTG),Number of ads in Library
200480966638039,Supremacy 1914,These ads ran without a disclaimer,167,2
102270139476784,KK-30,These ads ran without a disclaimer,≤100,1
101289218907718,Web News,These ads ran without a disclaimer,≤100,1
106423254910166,Le Docteur Aicha Yatabary,These ads ran without a disclaimer,≤100,1
214325065430084,ADATA,These ads ran without a disclaimer,≤100,1
116152304722251,Magic1420-03,These ads ran without a disclaimer,≤100,1
101861949499183,Jc-28,These ads ran without a disclaimer,≤100,1
115444524830093,Wsp17,These ads ran without a disclaimer,≤100,1
103497027790225,Fonos,These ads ran without a disclaimer,≤100,1
114991248191992,Awe55,These ads ran without a disclaimer,≤100,1
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,1
117593677945560,Jovenes Por juliaca,These ads ran without a disclaimer,≤100,1
257045211013828,San Antonio Spurs Pro,These ads ran without a disclaimer,≤100,1
105921748922560,Beller Boy,These ads ran without a disclaimer,≤100,1
