Location name,Amount spent (PYG)
Alto Paraguay Department,20014
Alto Paraná Department,2088892
Amambay Department,213141
Asunción,1712261
Boquerón department,73508
Caaguazú Department,659942
Caazapá Department,195359
Canindeyú Department,180205
Central Department,4917490
Concepción Department (Paraguay),309736
Cordillera Department,492219
Guairá Department,169738
Itapúa Department,726191
Misiones Department,161289
Paraguarí Department,187999
Presidente Hayes Department,142855
San Pedro Department,271670
Unknown,541
Ñeembucú Department,94248
