Location name,Amount spent (CZK)
Central Bohemian Region,20037
Hradec Králové Region,10221
Karlovy Vary Region,4983
Liberec Region,8341
Moravian-Silesian Region,18662
Olomouc Region,9983
Pardubice Region,9340
Plzeň Region,10007
Prague,34757
South Bohemian Region,10464
South Moravian Region,23836
Unknown,≤100
Vysočina Region,8934
Zlín Region,9046
Ústí nad Labem Region,17525
