Location name,Amount spent (HUF)
Baranya County,118073
Borsod-Abaúj-Zemplén County,150081
Budapest,957796
Bács-Kiskun County,133858
Békés County,86932
Csongrád County,142957
Fejér County,129936
Győr-Moson-Sopron County,144553
Hajdú-Bihar County,139528
Heves County,76657
Jász-Nagykun-Szolnok County,101471
Komárom-Esztergom County,78336
Nógrád County,56866
Pest County,486393
Somogy County,81009
Szabolcs-Szatmár-Bereg County,119663
Tolna County,57643
Unknown,5785
Vas County,88002
Veszprém County,85990
Zala County,78406
