Location name,Amount spent (ISK)
Capital Region,77011
Eastern Region,3451
Northeastern Region,14503
Northwestern Region,2076
Southern Peninsula,7708
Southern Region,7737
Unknown,≤100
Western Region,1892
Westfjords,2100
