Page ID,Page name,Disclaimer,Amount spent (CRC),Number of ads in Library
856012741442139,Ipas LAC,Neuma,200266,5
643513979193133,Unidos por Beatriz,Neuma,17772,9
117476041631671,AmCham Costa Rica,AmCham Costa Rica,7194,1
168286823190319,Cámara de Industrias de Costa Rica,Cámara de Industrias de Costa Rica,6589,1
117702158266385,Antonio Álvarez Desanti,Antonio Alvarez Desanti,5995,1
1540070352761579,Leslye Bojorges,Leslye Ruben Bojorges Leon,5396,2
161538647202796,David Segura - Diputado,David Lorenzo Segura Gamboa,3194,1
265843867173714,La Revista,La Revista,2807,2
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,1857,1
299756937371188,Cristian Valverde,Cristian Val,1833,1
101128242614247,Dr. Rodolfo Brenes Vargas,Rodolfo Brenes Vargas,1199,1
110229697990927,Pablo Sibaja - Diputado,Pablo Sibaja Jiménez,637,1
1727280190891954,FRANCE 24 Español,These ads ran without a disclaimer,105,1
111935394678144,laura.andrade.zacarias,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,3
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
754413797932207,Ale Burgs,These ads ran without a disclaimer,≤100,1
