Location name,Amount spent (IDR)
Aceh,622520
Bali,1752392
Bangka–Belitung Islands,335976
Banten,1505125
Bengkulu,425082
Central Java,5956305
Central Kalimantan,490567
Central Sulawesi,697217
East Java,6190831
East Kalimantan,1181495
East Nusa Tenggara,1233453
Gorontalo,338038
Jakarta,3517505
Jambi,717205
Lampung,1518050
Maluku,339421
North Kalimantan,166881
North Maluku,262231
North Sulawesi,1471046
North Sumatra,3505183
Papua (province),549475
Riau,1568457
Riau Islands Province,602182
South Kalimantan,564517
South Sulawesi,1676928
South Sumatra,1725416
Southeast Sulawesi,569761
Special Region of Yogyakarta,1131510
Unknown,6679
West Java,6875473
West Kalimantan,1043136
West Nusa Tenggara,1002412
West Papua,213756
West Sulawesi,237816
West Sumatra,893531
