Location name,Amount spent (PLN)
Greater Poland Voivodeship,2997
Kuyavian-Pomeranian Voivodeship,1756
Lesser Poland Voivodeship,3545
Lower Silesian Voivodeship,2767
Lublin Voivodeship,1697
Lubusz Voivodeship,720
Masovian Voivodeship,6844
Opole Voivodeship,671
Podkarpackie Voivodeship,1406
Podlaskie Voivodeship,1037
Pomeranian Voivodeship,2265
Silesian Voivodeship,3618
Unknown,≤100
Warmian-Masurian Voivodeship,1712
West Pomeranian Voivodeship,1456
Łódź Voivodeship,2154
Świętokrzyskie Voivodeship,805
