Location name,Amount spent (IDR)
Aceh,198844
Bali,1111811
Bangka–Belitung Islands,173367
Banten,1415917
Bengkulu,132005
Central Java,3860212
Central Kalimantan,398975
Central Sulawesi,168616
East Java,6140871
East Kalimantan,410806
East Nusa Tenggara,462291
Gorontalo,123122
Jakarta,3146431
Jambi,178573
Lampung,962524
Maluku,93226
North Kalimantan,85279
North Maluku,67782
North Sulawesi,569879
North Sumatra,2301472
Papua (province),282170
Riau,774715
Riau Islands Province,208723
South Kalimantan,208096
South Sulawesi,778096
South Sumatra,628963
Southeast Sulawesi,153921
Special Region of Yogyakarta,683091
Unknown,1395
West Java,3672507
West Kalimantan,339997
West Nusa Tenggara,434541
West Papua,79311
West Sulawesi,77860
West Sumatra,391255
