Location name,Amount spent (USD)
Azuay Province,563
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,151
Chimborazo Province,244
Cotopaxi Province,159
El Oro Province,497
Esmeraldas Province,201
Galápagos Province,≤100
Guayas Province,2054
Imbabura Province,218
Loja Province,153
Los Ríos Province,374
Manabí Province,955
Morona-Santiago Province,≤100
Napo Province,≤100
Orellana Province,≤100
Pastaza Province,≤100
Pichincha Province,1216
Santa Elena Province,260
Santo Domingo de los Tsáchilas Province,601
Sucumbíos Province,≤100
Tungurahua Province,260
Unknown,≤100
Zamora-Chinchipe Province,≤100
