Location name,Amount spent (EUR)
Blagoevgrad Province,397
Burgas Province,468
Dobrich Province,238
Gabrovo Province,116
Haskovo Province,245
Kardzhali Province,152
Kyustendil Province,101
Lovech Province,123
Montana Province,104
Pazardzhik Province,273
Pernik Province,112
Pleven Province,265
Plovdiv Province,762
Razgrad Province,282
Ruse Province,285
Shumen Province,176
Silistra Province,≤100
Sliven Province,312
Smolyan Province,105
Sofia City Province,2036
Sofia Province,197
Stara Zagora Province,566
Targovishte Province,160
Unknown,≤100
Varna Province,489
Veliko Tarnovo Province,336
Vidin Province,≤100
Vratsa Province,203
Yambol Province,137
