Location name,Amount spent (SEK)
Blekinge County,7413
Dalarna County,15170
Gotland County,3479
Gävleborg County,15043
Halland County,15497
Jämtland County,7178
Jönköping County,17873
Kalmar County,11405
Kronoberg County,8797
Norrbotten County,12645
Skåne County,70597
Stockholm County,147799
Södermanland County,15132
Unknown,≤100
Uppsala County,21223
Värmland County,13430
Västerbotten County,13443
Västernorrland County,12092
Västmanland County,14243
Västra Götaland County,95659
Örebro County,15136
Östergötland County,21734
