Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,445
Bangkok,10911
Bueng Kan,≤100
Buriram,201
Chachoengsao,489
Chai Nat,≤100
Chaiyaphum,123
Chanthaburi,210
Chiang Mai,979
Chiang Rai,305
Chon Buri,3350
Chumphon,260
Kalasin,118
Kamphaeng Phet,112
Kanchanaburi,502
Khon Kaen,311
Krabi,277
Lampang,563
Lamphun,149
Loei,≤100
Lop Buri,148
Mae Hong Son,≤100
Maha Sarakham,132
Mukdahan,≤100
Nakhon Nayok,891
Nakhon Pathom,451
Nakhon Phanom,130
Nakhon Ratchasima,446
Nakhon Sawan,233
Nakhon Si Thammarat,1939
Nan,≤100
Narathiwat,148
Nong Bua Lam Phu,≤100
Nong Khai,≤100
Nonthaburi,525
Pathum Thani,383
Pattani,181
Phangnga,216
Phatthalung,294
Phayao,385
Phetchabun,120
Phetchaburi,774
Phichit,196
Phitsanulok,2720
Phrae,≤100
Phuket,1294
Prachin Buri,185
Prachuap Khiri Khan,355
Ranong,≤100
Ratchaburi,310
Rayong,237
Roi Et,173
Sa Kaeo,≤100
Sakon Nakhon,184
Samut Prakan,626
Samut Sakhon,277
Samut Songkhram,610
Saraburi,268
Satun,151
Sing Buri,≤100
Sisaket,180
Songkhla,2009
Sukhothai,241
Suphan Buri,195
Surat Thani,6827
Surin,179
Tak,240
Trang,255
Trat,≤100
Ubon Ratchathani,283
Udon Thani,191
Unknown,≤100
Uthai Thani,≤100
Uttaradit,≤100
Yala Province,144
Yasothon,520
