Location name,Amount spent (CLP)
Antofagasta Region,128158
Araucanía Region,192395
Arica y Parinacota Region,30865
Atacama Region,51924
Aysén Region,45053
Bío Bío Region,247603
Coquimbo Region,286353
Los Lagos Region,144484
Los Ríos Region,70198
Magallanes y la Antártica Chilena Region,44106
Maule Region,186053
O'Higgins Region,340645
Santiago Metropolitan Region,1691274
Tarapacá Region,70400
Unknown,290
Valparaíso Region,601435
