Location name,Amount spent (VND)
An Giang Province,28209
Bà Rịa–Vũng Tàu Province,63593
Bình Dương Province,282641
Bình Phước Province,31335
Bình Thuận Province,29740
Bình Định Province,43780
Bạc Liêu Province,12550
Bắc Giang Province,256771
Bắc Kạn Province,23890
Bắc Ninh Province,150174
Bến Tre Province,17603
Cao Bằng Province,318228
Cà Mau Province,19167
Cần Thơ,34624
Da Nang,67583
Gia Lai Province,42496
Haiphong,101568
Ho Chi Minh City,1464956
Hà Giang Province,15442
Hà Nam Province,27373
Hà Tĩnh Province,41935
Hòa Bình Province,30256
Hưng Yên Province,128856
Hải Dương Province,306914
Hậu Giang Province,9657
Khánh Hòa Province,22387
Kiên Giang Province,37667
Kon Tum Province,19527
Lai Châu Province,8354
Long An Province,114154
Lào Cai Province,21167
Lâm Đồng Province,41900
Lạng Sơn Province,28555
Nam Định Province,54320
Nghệ An Province,88889
Ninh Bình Province,73481
Ninh Thuận Province,11323
Phú Thọ Province,36481
Phú Yên Province,29209
Quảng Bình Province,31140
Quảng Nam Province,55705
Quảng Ngãi Province,107258
Quảng Ninh Province,32775
Quảng Trị Province,17204
Sóc Trăng Province,24644
Sơn La Province,16083
Thanh Hóa Province,146633
Thái Bình Province,34330
Thái Nguyên Province,70600
Thừa Thiên–Huế Province,27711
Tiền Giang Province,55979
Trà Vinh Province,21805
Tuyên Quang Province,83459
Tây Ninh Province,211175
Unknown,≤100
Vĩnh Long Province,14821
Vĩnh Phúc Province,141387
Yên Bái Province,18962
Điện Biên Province,13909
Đắk Lắk Province,60276
Đắk Nông Province,13709
Đồng Nai Province,251088
Đồng Tháp Province,24071
