Location name,Amount spent (INR)
Andaman and Nicobar Islands,418
Andhra Pradesh,130301
Arunachal Pradesh,3173
Assam,35715
Bihar,102615
Chandigarh,4258
Chhattisgarh,129115
Dadra and Nagar Haveli,2273
Delhi,75140
Goa,4379
Gujarat,82924
Haryana,53787
Himachal Pradesh,20878
Jammu and Kashmir,20503
Jharkhand,32105
Karnataka,54711
Kerala,10717
Lakshadweep,≤100
Madhya Pradesh,369392
Maharashtra,216671
Manipur,665
Meghalaya,2905
Mizoram,3950
Nagaland,1901
Odisha,33438
Puducherry,2168
Punjab region,41777
Rajasthan,340562
Sikkim,2336
Tamil Nadu,47982
Telangana,117185
Tripura,4520
Unknown,230
Uttar Pradesh,182298
Uttarakhand,35243
West Bengal,85979
