Location name,Amount spent (PYG)
Alto Paraguay Department,102790
Alto Paraná Department,1104995
Amambay Department,33148
Asunción,602223
Boquerón department,28552
Caaguazú Department,136191
Caazapá Department,23918
Canindeyú Department,35352
Central Department,1634655
Concepción Department (Paraguay),35314
Cordillera Department,64334
Guairá Department,94347
Itapúa Department,221221
Misiones Department,24846
Paraguarí Department,37998
Presidente Hayes Department,45348
San Pedro Department,51198
Unknown,≤100
Ñeembucú Department,20877
