Location name,Amount spent (MYR)
Johor,308
Kedah,195
Kelantan,113
Kuala Lumpur,503
Labuan,≤100
Malacca,≤100
Negeri Sembilan,152
Pahang,141
Penang,183
Perak,208
Perlis,≤100
Putrajaya,≤100
Sabah,218
Sarawak,154
Selangor,899
Terengganu,136
Unknown,≤100
