Location name,Amount spent (RON)
Alba County,554
Arad County,693
Argeș County,747
Bacău County,630
Bihor County,820
Bistrița-Năsăud County,409
Botoșani County,759
Brașov County,784
Brăila County,296
Bucharest,2983
Buzău County,574
Caraș-Severin County,276
Cluj County,998
Constanța County,872
Covasna County,251
Călărași County,282
Dolj County,731
Dâmbovița County,652
Galați County,640
Giurgiu County,216
Gorj County,517
Harghita County,496
Hunedoara County,463
Ialomița County,211
Iași County,895
Ilfov County,701
Maramureș County,745
Mehedinți County,272
Mureș County,836
Neamț County,913
Olt County,334
Prahova County,1025
Satu Mare County,381
Sibiu County,513
Suceava County,725
Sălaj County,302
Teleorman County,263
Timiș County,942
Tulcea County,202
Unknown,≤100
Vaslui County,367
Vrancea County,465
Vâlcea County,595
