Location name,Amount spent (ZAR)
Eastern Cape,1074
Free State,486
Gauteng,3013
KwaZulu-Natal,1568
Limpopo,632
Mpumalanga,590
North West,430
Northern Cape,196
Unknown,≤100
Western Cape,4394
