Location name,Amount spent (DKK)
Capital Region of Denmark,48404
Central Denmark Region,28659
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,13105
Region of Southern Denmark,25848
Unknown,≤100
Zealand Region,19076
