Location name,Amount spent (MXN)
Aguascalientes,5669
Baja California,21792
Baja California Sur,2691
Campeche,30780
Chiapas,10757
Chihuahua,24128
Coahuila de Zaragoza,27137
Colima,5490
Distrito Federal,75710
Durango,5560
Guanajuato,29976
Guerrero,10584
Hidalgo,6552
Jalisco,57087
Michoacán de Ocampo,16161
Morelos,8577
Nayarit,4168
Nuevo León,119460
Oaxaca,9108
Puebla,21443
Querétaro Arteaga,8165
Quintana Roo,9496
San Luis Potosi,13081
Sinaloa,8735
Sonora,24221
State of Mexico,51273
Tabasco,5870
Tamaulipas,24835
Tlaxcala,6857
Unknown,≤100
Veracruz,28314
Yucatán,17096
Zacatecas,3034
