Location name,Amount spent (EGP)
Al Sharqia Governorate,2021
Alexandria Governorate,1214
Aswan Governorate,201
Asyut Governorate,425
Beheira Governorate,775
Beni Suef Governorate,292
Cairo Governorate,2799
Dakahlia Governorate,1499
Damietta Governorate,492
Faiyum Governorate,265
Gharbia Governorate,829
Giza Governorate,841
Ismailia Governorate,437
Kafr el-Sheikh Governorate,667
Luxor Governorate,148
Matrouh Governorate,≤100
Minya Governorate,515
Monufia Governorate,596
New Valley Governorate,≤100
North Sinai Governorate,110
Port Said Governorate,348
Qalyubia Governorate,673
Qena Governorate,342
Red Sea Governorate,114
Sohag Governorate,481
South Sinai Governorate,≤100
Suez Governorate,132
Unknown,≤100
