Location name,Amount spent (USD)
Azuay Province,474
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,141
Chimborazo Province,264
Cotopaxi Province,239
El Oro Province,562
Esmeraldas Province,283
Galápagos Province,≤100
Guayas Province,2438
Imbabura Province,253
Loja Province,289
Los Ríos Province,649
Manabí Province,1156
Morona-Santiago Province,155
Napo Province,≤100
Orellana Province,≤100
Pastaza Province,106
Pichincha Province,1471
Santa Elena Province,239
Santo Domingo de los Tsáchilas Province,338
Sucumbíos Province,151
Tungurahua Province,427
Unknown,≤100
Zamora-Chinchipe Province,≤100
