Location name,Amount spent (EGP)
Al Sharqia Governorate,2030
Alexandria Governorate,1006
Aswan Governorate,172
Asyut Governorate,525
Beheira Governorate,695
Beni Suef Governorate,282
Cairo Governorate,2985
Dakahlia Governorate,1211
Damietta Governorate,321
Faiyum Governorate,402
Gharbia Governorate,1030
Giza Governorate,953
Ismailia Governorate,255
Kafr el-Sheikh Governorate,835
Luxor Governorate,129
Matrouh Governorate,≤100
Minya Governorate,696
Monufia Governorate,882
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,235
Qalyubia Governorate,1087
Qena Governorate,313
Red Sea Governorate,166
Sohag Governorate,699
South Sinai Governorate,≤100
Suez Governorate,110
Unknown,≤100
