Location name,Amount spent (COP)
Amazonas,796
Antioquia,1543075
Arauca,6004
Atlantico,306046
Bolivar,63369
Boyaca,20172
Caldas,22954
Caqueta,24475
Casanare,8552
Cauca,49995
Cesar,32380
Choco,13117
Cordoba,39589
Cundinamarca,262105
Distrito Especial,3201217
Guainia,714
Guaviare,1229
Huila,55348
La Guajira,29489
Magdalena,53916
Meta,55207
Narino,88933
Norte de Santander,259650
Putumayo,64594
Quindio,37335
Risaralda,105153
San Andres y Providencia,1704
Santander,252287
Sucre,21255
Tolima,30921
Unknown,≤100
Valle del Cauca,354797
Vaupes,781
Vichada,495
