Page ID,Page name,Disclaimer,Amount spent (CRC),Number of ads in Library
117476041631671,AmCham Costa Rica,AmCham Costa Rica,7002,1
100248039454311,Mi Canton Digital,Mi Canton Digital,3232,1
117702158266385,Antonio Álvarez Desanti,Antonio Alvarez Desanti,2693,1
1697191247176676,Diego Miranda Méndez,Diego Miranda Méndez,2574,2
265843867173714,La Revista,La Revista,2217,3
399929296730642,Consejo Nacional de Cooperativas,Jonathan Ureña Vargas,2155,1
102084562479533,Digital506,Digital506,1491,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,1445,2
2238793973101135,Leonardo Ferraz,These ads ran without a disclaimer,1298,10
101128242614247,Dr. Rodolfo Brenes Vargas,Rodolfo Brenes Vargas,1077,1
1599595763404823,Danny Vargas Diputado,Danny Vargas Diputado,527,2
106973842317140,Sophia Ribeiro,These ads ran without a disclaimer,312,9
1564830553770208,Encuentro Municipal,José Luis Jimenez Robleto,245,1
112872221753732,Sara Perez,These ads ran without a disclaimer,215,16
124109327256894,Dra. Ângela Pistão,These ads ran without a disclaimer,≤100,6
19746387261,Humane Society International,These ads ran without a disclaimer,≤100,2
109706568131307,Smart Chill Cat,These ads ran without a disclaimer,≤100,1
101721855657067,Fox Vibes,These ads ran without a disclaimer,≤100,1
1482174305394430,el pupitre de Pilu,These ads ran without a disclaimer,≤100,1
618086438391102,Taiwan in the EU and Belgium,These ads ran without a disclaimer,≤100,1
343786409509707,The East Gate,These ads ran without a disclaimer,≤100,1
104204428019174,Viajar es Mundial,These ads ran without a disclaimer,≤100,1
164363583611275,Bedós Bonaterra,These ads ran without a disclaimer,≤100,1
1543353175947544,Tibidabo Ediciones,These ads ran without a disclaimer,≤100,1
152914224736727,Banco Mundial,These ads ran without a disclaimer,≤100,2
47815171686,Banyan Tree Hotels & Resorts,These ads ran without a disclaimer,≤100,1
101241435849797,Tot Reading,These ads ran without a disclaimer,≤100,1
