Page ID,Page name,Disclaimer,Amount spent (EGP),Number of ads in Library
798673866859390,ETC TV,ETC TV,5260,48
114229523780037,أحمد إبراهيم البنا - Ahmed Ibrahim Elbanna,Ahmed El Banna,2809,2
100835565731657,Ahmed Amin Massoud - أحمد أمين مسعود,Ahmed Amin Massoud - أحمد أمين مسعود,727,2
107767437680846,أحمد صلاح الطاروطي,Suzie Raafat,721,1
100857675472522,ScreeN+,Mahmoud Elfeky,523,1
117741954907367,TeachingEnglish - British Council,These ads ran without a disclaimer,435,1
101586878327765,Hassanein Tawfiq - حسانين توفيق,Hassanein Tawfiq - حسانين توفيق,357,9
550280998481446,Rasha Kelej,Rasha Kelej,351,4
105096455624550,Tamer abdelhamid - تامر عبد الحميد,Tamer abdelhamid - تامر عبد الحميد,328,2
102883459081121,Mohamed Taher - محمد طاهر,Mohamed Taher - محمد طاهر,284,5
131814203525361,CC Plus,Nourhan Osama,277,8
103571604973098,هشام حسين - Hesham Hussein,هشام حسين - Hesham Hussein,277,3
927829383900542,وزارة التخطيط والتنمية الاقتصادية,وزارة التخطيط والتنمية الاقتصادية,253,1
102752291431181,المهندس حازم الجندي - Hazem ElGendy,المهندس حازم الجندي - Hazem ElGendy,238,7
158643697625854,محمد تيسير مطر - Mohamed Tayser Mattar,Aplus,237,1
308088503057656,النائب محمود عصام,النائب محمود عصام,226,8
595025640685644,النائبة شيرين عبد العزيز - Sherin abdelaziz,النائبة شيرين عبد العزيز - Sherin abdelaziz,199,2
192320965049184,الإعلامية نيفين منصور,Nivine Mansour,198,2
118992379972310,Fatmah Selim - فاطمة سليم,Fatmah Selim - فاطمة سليم,187,3
692939830826213,Mohamed Badran  محمد بدران,Mohamed Badran  محمد بدران,185,3
103204975886755,البديوي السيد - الصفحة الرسمية,Mohamed Elbedewy,177,6
101531545886809,معاً لانقاذ المهندس المصرى خالد سعد زغلول,Mona Mostafa,175,1
110877857406073,المهندس حسام لبن,المهندس حسام لبن,173,4
103591834853142,Hamoda Mohamed Hamoda - حموده محمد حموده,Mahmoud Raafat Idris,163,2
102341909188211,تحيا مصر سبورت,Mariam Ahmed Hamouda,160,1
103745798627292,المستشار ماهر ميلاد اسكندر,المستشار ماهر ميلاد اسكندر,150,1
112072071382470,أحمد الفار .الصفحة الرسمية,Noha Mohamed Ibrahim,126,1
354968941204659,الدكتور أيمن أبو العلا عضو مجلس النواب,الدكتور أيمن أبو العلا عضو مجلس النواب,126,2
211767829359945,مصر النهاردة,These ads ran without a disclaimer,125,2
