Location name,Amount spent (EGP)
Al Sharqia Governorate,1993
Alexandria Governorate,1471
Aswan Governorate,181
Asyut Governorate,410
Beheira Governorate,625
Beni Suef Governorate,295
Cairo Governorate,3385
Dakahlia Governorate,1056
Damietta Governorate,313
Faiyum Governorate,380
Gharbia Governorate,1105
Giza Governorate,945
Ismailia Governorate,265
Kafr el-Sheikh Governorate,419
Luxor Governorate,125
Matrouh Governorate,≤100
Minya Governorate,482
Monufia Governorate,555
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,374
Qalyubia Governorate,883
Qena Governorate,321
Red Sea Governorate,104
Sohag Governorate,464
South Sinai Governorate,≤100
Suez Governorate,125
Unknown,≤100
