Location name,Amount spent (DKK)
Capital Region of Denmark,45756
Central Denmark Region,22303
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,9163
Region of Southern Denmark,19151
Unknown,1068
Zealand Region,12814
