Location name,Amount spent (JPY)
Aichi Prefecture,84886
Akita Prefecture,1719
Aomori Prefecture,1448
Chiba Prefecture,14282
Ehime Prefecture,1901
Fukui Prefecture,1829
Fukuoka Prefecture,32017
Fukushima Prefecture,2723
Gifu Prefecture,5806
Gunma Prefecture,3378
Hiroshima Prefecture,4414
Hokkaido,8531
Hyōgo Prefecture,14137
Ibaraki Prefecture,4732
Ishikawa Prefecture,2780
Iwate Prefecture,1950
Kagawa Prefecture,1729
Kagoshima Prefecture,2306
Kanagawa Prefecture,30396
Kumamoto Prefecture,3714
Kyoto Prefecture,9303
Kōchi Prefecture,946
Mie Prefecture,3524
Miyagi Prefecture,9953
Miyazaki Prefecture,1724
Nagano Prefecture,3699
Nagasaki Prefecture,7640
Nara Prefecture,2834
Niigata Prefecture,3894
Okayama Prefecture,5073
Okinawa Prefecture,5812
Osaka Prefecture,23769
Saga Prefecture,3389
Saitama Prefecture,13528
Shiga Prefecture,3095
Shimane Prefecture,1390
Shizuoka Prefecture,6652
Tochigi Prefecture,3347
Tokushima Prefecture,1247
Tokyo,72203
Tottori Prefecture,751
Toyama Prefecture,1782
Wakayama Prefecture,1755
Yamagata Prefecture,1905
Yamaguchi Prefecture,2290
Yamanashi Prefecture,1364
Ōita Prefecture,2528
