Location name,Amount spent (GTQ)
Alta Verapaz Department,1052
Baja Verapaz Department,386
Chimaltenango Department,888
Chiquimula Department,775
El Progreso Department,393
Escuintla Department,1635
Guatemala Department,17545
Huehuetenango Department,1751
Izabal Department,1316
Jalapa Department,492
Jutiapa Department,777
Petén Department,858
Quetzaltenango Department,1988
Quiché Department,1169
Retalhuleu Department,642
Sacatepéquez Department,756
San Marcos Department,4159
Santa Rosa Department,568
Sololá Department,647
Suchitepéquez Department,902
Totonicapán Department,618
Unknown,≤100
Zacapa Department,535
