Location name,Amount spent (MYR)
Johor,396
Kedah,252
Kelantan,156
Kuala Lumpur,644
Labuan,≤100
Malacca,145
Negeri Sembilan,135
Pahang,393
Penang,191
Perak,314
Perlis,≤100
Putrajaya,≤100
Sabah,420
Sarawak,481
Selangor,882
Terengganu,142
Unknown,≤100
