Location name,Amount spent (AUD)
Australian Capital Territory,584
Jervis Bay Territory,≤100
New South Wales,24173
Northern Territory,233
Queensland,7527
South Australia,2751
Tasmania,1071
Unknown,≤100
Victoria,9072
Western Australia,3347
