Location name,Amount spent (VND)
An Giang Province,12277
Bà Rịa–Vũng Tàu Province,28602
Bình Dương Province,101689
Bình Phước Province,11850
Bình Thuận Province,10162
Bình Định Province,35662
Bạc Liêu Province,5615
Bắc Giang Province,31204
Bắc Kạn Province,4283
Bắc Ninh Province,79618
Bến Tre Province,7661
Cao Bằng Province,73300
Cà Mau Province,7593
Cần Thơ,9357
Da Nang,14870
Gia Lai Province,11475
Haiphong,27573
Ho Chi Minh City,772985
Hà Giang Province,5303
Hà Nam Province,14805
Hà Tĩnh Province,17584
Hòa Bình Province,14577
Hưng Yên Province,16738
Hải Dương Province,31358
Hậu Giang Province,2688
Khánh Hòa Province,13637
Kiên Giang Province,10325
Kon Tum Province,4281
Lai Châu Province,1053
Long An Province,55782
Lào Cai Province,7251
Lâm Đồng Province,14151
Lạng Sơn Province,9653
Nam Định Province,22848
Nghệ An Province,94226
Ninh Bình Province,15102
Ninh Thuận Province,3965
Phú Thọ Province,24934
Phú Yên Province,7755
Quảng Bình Province,9728
Quảng Nam Province,13266
Quảng Ngãi Province,9761
Quảng Ninh Province,18304
Quảng Trị Province,61291
Sóc Trăng Province,7684
Sơn La Province,9464
Thanh Hóa Province,35294
Thái Bình Province,102231
Thái Nguyên Province,179377
Thừa Thiên–Huế Province,14401
Tiền Giang Province,23284
Trà Vinh Province,5464
Tuyên Quang Province,14637
Tây Ninh Province,12739
Vĩnh Long Province,5579
Vĩnh Phúc Province,16709
Yên Bái Province,10035
Điện Biên Province,3360
Đắk Lắk Province,75450
Đắk Nông Province,7818
Đồng Nai Province,186442
Đồng Tháp Province,8261
