Location name,Amount spent (COP)
Amazonas,3070
Antioquia,7549878
Arauca,173232
Atlantico,587648
Bolivar,576106
Boyaca,675468
Caldas,533711
Caqueta,683477
Casanare,334664
Cauca,374920
Cesar,314615
Choco,60639
Cordoba,2706477
Cundinamarca,1440012
Distrito Especial,5104841
Guainia,14914
Guaviare,9243
Huila,632523
La Guajira,175388
Magdalena,132046
Meta,521810
Narino,179134
Norte de Santander,1995820
Putumayo,676369
Quindio,187732
Risaralda,1559149
San Andres y Providencia,14678
Santander,1946206
Sucre,387632
Tolima,944869
Unknown,307
Valle del Cauca,3746315
Vaupes,595
Vichada,1897
