Location name,Amount spent (IDR)
Aceh,2027405
Bali,9606506
Bangka–Belitung Islands,448308
Banten,7786307
Bengkulu,831203
Central Java,23427371
Central Kalimantan,871457
Central Sulawesi,1666266
East Java,24612244
East Kalimantan,2251023
East Nusa Tenggara,9982962
Gorontalo,1427549
Jakarta,17659304
Jambi,1104390
Lampung,5172958
Maluku,1079336
North Kalimantan,434465
North Maluku,436953
North Sulawesi,3341557
North Sumatra,6046536
Papua (province),7615743
Riau,2541327
Riau Islands Province,1127777
South Kalimantan,1589250
South Sulawesi,5039060
South Sumatra,5409988
Southeast Sulawesi,1443883
Special Region of Yogyakarta,8032978
Unknown,15420
West Java,28112270
West Kalimantan,2738540
West Nusa Tenggara,1595209
West Papua,396915
West Sulawesi,502102
West Sumatra,1991035
