Location name,Amount spent (COP)
Amazonas,1233
Antioquia,12398999
Arauca,17911
Atlantico,694808
Bolivar,131251
Boyaca,238191
Caldas,225227
Caqueta,115987
Casanare,99828
Cauca,261131
Cesar,240648
Choco,43537
Cordoba,337380
Cundinamarca,492017
Distrito Especial,3787115
Guainia,16298
Guaviare,1724
Huila,605262
La Guajira,134741
Magdalena,281542
Meta,392604
Narino,119724
Norte de Santander,656238
Putumayo,37733
Quindio,94663
Risaralda,506476
San Andres y Providencia,2319
Santander,1907993
Sucre,392682
Tolima,106187
Unknown,≤100
Valle del Cauca,6014686
Vaupes,290
Vichada,747
