Page ID,Page name,Disclaimer,Amount spent (TWD),Number of ads in Library
268397903239051,立委補選-林明溱,張宜蓁,36168,7
238507146264909,國際特赦組織 台灣分會 Amnesty International Taiwan,國際特赦組織 台灣分會 Amnesty International Taiwan,20976,140
693907914395620,良杯製所 Oolab,良杯製所 Oolab,17009,9
105556085524776,Twpca-台灣野良犬照護協會,Twpca-台灣野良犬照護協會,14950,5
148475335184300,Greenpeace 綠色和平 (台灣網站),Greenpeace 綠色和平 (台灣網站),13767,45
467933563234921,南門書局-網路圖書名店、也有實體店面，誠信可靠！,玉河 孫,9655,8
127628276929,天下雜誌,天下雜誌,8175,21
101046209392101,新事貸-新鑫特優經銷商,新事貸-新鑫特優經銷商,8069,2
235679595900,民視新聞,民視新聞,7328,15
106801464127093,目目非營利 MUVE NPO,目目非營利,6693,19
177161918975981,基督教芥菜種會,基督教芥菜種會,6549,32
102580665189545,台視新聞,These ads ran without a disclaimer,5593,1
347432368933987,LINE TODAY Taiwan,LINE TODAY Taiwan,5427,6
997683843637673,蔡培慧 慧做事真實在,蔡培慧 慧做事真實在,4120,5
201785650801,亞洲大學(Asia University Taiwan),亞洲大學,3834,15
105864701769057,瑞馳智庫學院,瑞馳智庫股份有限公司,3562,2
100714476220256,永續金融先行者聯盟,永續金融先行者聯盟,3360,31
113021403762187,法律協會-債務協商 更生 清算 -全台服務,傢宇 吳,3351,2
194832457212,天下文化,天下文化,2605,5
727855827262810,林家興 Alfred Lin,Project Coup Studio,2423,1
109462390640602,企業勞動法務管理顧問-勞動契約、勞資爭議、勞務健檢、教育訓練、法律事務、法律風險控管,芸廷 林,2247,37
1649523455281990,遠山呼喚,遠山呼喚,2184,3
132727540081371,立法委員賴惠員,立法委員賴惠員,1988,3
365320250345879,林昶佐 Freddy Lim,林昶佐國會辦公室,1945,1
436843193180529,Unipapa,Unipapa,1910,15
158025223269,今周刊,今周刊,1566,6
1573873889493647,賴士葆,賴士葆,1542,3
1847777185521418,放言 Fount Media,放言科技傳媒股份有限公司,1537,18
101355918337667,地天泰國際顧問有限公司,地天泰國際顧問有限公司,1288,4
628210660663641,自由時報地產天下,自由時報地產天下,1191,1
171464500113435,MKStudio,MKStudio,1190,10
850754301947812,鏡新聞,鏡新聞,1167,1
335544036485779,經濟部,經濟部,1167,1
106118168971467,債務人權益協會 扣薪 協商 更生 清算,傢宇 吳,1137,1
103219708815173,蕭立妍,Li Yen Hsiao,1033,1
652438848137404,連勝文,連勝文,1018,1
100971679482122,2222-《未來選擇地》,2222,1018,3
1693856497304590,竹山鎮長陳東睦,陳東睦,1013,2
171759036215066,創世紀不動產教育訓練中心,Micky  Wu,932,15
219315794887869,聯合報,聯合報股份有限公司,918,7
1659728604312270,台泥企業團,台泥,907,3
104624290080479,張育美,翊斌黃,898,3
1751961571765479,CSR在天下,偉倫 高,867,5
1629474157289221,小牛頓,小牛頓科學教育有限公司,866,7
891084220962935,時代力量 New Power Party,時代力量,850,1
1537741526464370,桃園市議長邱奕勝,奕勝 邱,709,4
390569611008641,願景工程基金會 Vision Project,願景工程基金會,702,22
108354452197118,張凱倫操作手冊,These ads ran without a disclaimer,672,1
104381935820077,南方，寂寞鐵道 On The Train,貝殼放大股份有限公司,652,4
111334712256714,勇媽阿惠 - 黃敏惠,勇媽阿惠 - 黃敏惠,633,3
