Location name,Amount spent (INR)
Andaman and Nicobar Islands,299
Andhra Pradesh,64004
Arunachal Pradesh,1130
Assam,19554
Bihar,62113
Chandigarh,3089
Chhattisgarh,37273
Dadra and Nagar Haveli,962
Delhi,62352
Goa,1838
Gujarat,53792
Haryana,51043
Himachal Pradesh,14690
Jammu and Kashmir,12006
Jharkhand,18741
Karnataka,186800
Kerala,18711
Lakshadweep,≤100
Madhya Pradesh,65444
Maharashtra,175110
Manipur,1959
Meghalaya,3968
Mizoram,869
Nagaland,3139
Odisha,17056
Puducherry,1291
Punjab region,37711
Rajasthan,128301
Sikkim,1036
Tamil Nadu,32934
Telangana,49931
Tripura,4036
Unknown,≤100
Uttar Pradesh,113676
Uttarakhand,13621
West Bengal,55406
