Location name,Amount spent (EUR)
Andrijevica Municipality,≤100
Bar Municipality,271
Berane Municipality,≤100
Bijelo Polje Municipality,322
Budva Municipality,344
Danilovgrad Municipality,≤100
Herceg Novi Municipality,177
Kolašin Municipality,≤100
Nikšić Municipality,519
Old Royal Capital Cetinje,≤100
Petnjica Municipality,≤100
Plav Municipality,≤100
Pljevlja Municipality,195
Plužine Municipality,≤100
Podgorica Capital City,1726
Rožaje Municipality,182
Tivat Municipality,271
Ulcinj Municipality,320
Unknown,≤100
Šavnik Municipality,≤100
Žabljak Municipality,≤100
