Location name,Amount spent (USD)
Azuay Province,2895
Bolívar Province,333
Carchi Province,337
Cañar Province,732
Chimborazo Province,1118
Cotopaxi Province,875
El Oro Province,3222
Esmeraldas Province,1215
Galápagos Province,280
Guayas Province,9848
Imbabura Province,1365
Loja Province,1228
Los Ríos Province,2729
Manabí Province,5803
Morona-Santiago Province,325
Napo Province,203
Orellana Province,483
Pastaza Province,332
Pichincha Province,7998
Santa Elena Province,1258
Santo Domingo de los Tsáchilas Province,2276
Sucumbíos Province,672
Tungurahua Province,1319
Unknown,≤100
Zamora-Chinchipe Province,220
