Location name,Amount spent (IDR)
Aceh,1034596
Bali,2019616
Bangka–Belitung Islands,440788
Banten,2152836
Bengkulu,600731
Central Java,8356221
Central Kalimantan,636896
Central Sulawesi,1239209
East Java,9699101
East Kalimantan,1814274
East Nusa Tenggara,2702248
Gorontalo,828878
Jakarta,7449815
Jambi,731581
Lampung,2389069
Maluku,466141
North Kalimantan,259354
North Maluku,394255
North Sulawesi,2927772
North Sumatra,4675208
Papua (province),1304346
Riau,2510714
Riau Islands Province,619523
South Kalimantan,641230
South Sulawesi,3775361
South Sumatra,2999996
Southeast Sulawesi,818508
Special Region of Yogyakarta,2185678
Unknown,313887
West Java,10241084
West Kalimantan,1778756
West Nusa Tenggara,1573194
West Papua,359472
West Sulawesi,408839
West Sumatra,1572266
