Location name,Amount spent (RON)
Alba County,691
Arad County,998
Argeș County,1051
Bacău County,1031
Bihor County,1062
Bistrița-Năsăud County,578
Botoșani County,734
Brașov County,2115
Brăila County,542
Bucharest,5833
Buzău County,755
Caraș-Severin County,484
Cluj County,2404
Constanța County,1488
Covasna County,522
Călărași County,391
Dolj County,1196
Dâmbovița County,897
Galați County,960
Giurgiu County,438
Gorj County,722
Harghita County,803
Hunedoara County,841
Ialomița County,500
Iași County,1711
Ilfov County,903
Maramureș County,1256
Mehedinți County,401
Mureș County,1202
Neamț County,832
Olt County,522
Prahova County,1820
Satu Mare County,655
Sibiu County,790
Suceava County,1315
Sălaj County,385
Teleorman County,886
Timiș County,1652
Tulcea County,577
Unknown,≤100
Vaslui County,635
Vrancea County,667
Vâlcea County,630
