Location name,Amount spent (INR)
Andaman and Nicobar Islands,150
Andhra Pradesh,114023
Arunachal Pradesh,1036
Assam,15244
Bihar,30293
Chandigarh,2058
Chhattisgarh,87601
Dadra and Nagar Haveli,621
Delhi,47004
Goa,2683
Gujarat,48155
Haryana,32793
Himachal Pradesh,10937
Jammu and Kashmir,5088
Jharkhand,14082
Karnataka,50694
Kerala,9245
Lakshadweep,≤100
Madhya Pradesh,269573
Maharashtra,180137
Manipur,159
Meghalaya,661
Mizoram,3162
Nagaland,718
Odisha,9241
Puducherry,735
Punjab region,32333
Rajasthan,133724
Sikkim,2401
Tamil Nadu,32497
Telangana,79065
Tripura,1549
Unknown,≤100
Uttar Pradesh,93097
Uttarakhand,11929
West Bengal,74087
