Location name,Amount spent (USD)
Alabama,9891
Alaska,3425
American Samoa,≤100
Arizona,25307
Arkansas,6017
California,105026
Colorado,18216
Connecticut,11172
Delaware,2950
Florida,61661
Georgia,26551
Hawaii,4722
Idaho,3982
Illinois,39389
Indiana,13599
Iowa,7068
Kansas,6568
Kentucky,9840
Louisiana,16155
Maine,4979
Maryland,30307
Massachusetts,15820
Michigan,29096
Minnesota,23193
Mississippi,7934
Missouri,13017
Montana,4061
Nebraska,4569
Nevada,13054
New Hampshire,4701
New Jersey,29051
New Mexico,6018
New York,57956
North Carolina,28241
North Dakota,1236
Northern Mariana Islands,≤100
Ohio,36912
Oklahoma,10295
Oregon,11714
Pennsylvania,45924
Puerto Rico,≤100
Rhode Island,7143
South Carolina,12272
South Dakota,1619
Tennessee,16716
Texas,102861
Unknown,≤100
Utah,6620
Vermont,1583
Virginia,27887
Washington,19450
"Washington, District of Columbia",23355
West Virginia,7783
Wisconsin,20399
Wyoming,1342
