Location name,Amount spent (LBP)
Beirut Governorate,2734774
Beqaa Governorate,890298
Mount Lebanon Governorate,1567164
Nabatieh Governorate,417910
North Governorate,1432836
South Governorate,672984
Unknown,≤100
