Location name,Amount spent (GTQ)
Alta Verapaz Department,1902
Baja Verapaz Department,618
Chimaltenango Department,1873
Chiquimula Department,909
El Progreso Department,577
Escuintla Department,2542
Guatemala Department,37076
Huehuetenango Department,2390
Izabal Department,1662
Jalapa Department,729
Jutiapa Department,1473
Petén Department,1519
Quetzaltenango Department,3404
Quiché Department,1752
Retalhuleu Department,1162
Sacatepéquez Department,2901
San Marcos Department,5867
Santa Rosa Department,1179
Sololá Department,1215
Suchitepéquez Department,1748
Totonicapán Department,1017
Unknown,≤100
Zacapa Department,758
